solution,scenario,product,to,V
POS1,s1,die,Chr,38689
POS1,s1,die,Srl,19857
POS1,s1,die,Amj,15329
POS1,s1,die,Ctw,98205
POS1,s1,die,Bhw,8190
POS1,s1,pet,Chr,1311
POS1,s1,pet,Brt,5330
POS1,s1,pet,Srl,3143
POS1,s1,pet,Amj,2141
POS1,s1,pet,Ctw,3795
POS1,s1,pet,Ktm,760
POS1,s1,pet,Pkr,10760
POS1,s1,pet,Bhw,31810
POS1,s1,pet,Npj,760
POS1,s1,pet,Dhn,760
POS2,s1,die,Chr,38689
POS2,s1,die,Srl,19877
POS2,s1,die,Amj,15309
POS2,s1,die,Ctw,98205
POS2,s1,die,Bhw,8190
POS2,s1,pet,Chr,1311
POS2,s1,pet,Brt,5330
POS2,s1,pet,Srl,3123
POS2,s1,pet,Amj,2161
POS2,s1,pet,Ctw,3795
POS2,s1,pet,Ktm,760
POS2,s1,pet,Pkr,10760
POS2,s1,pet,Bhw,31810
POS2,s1,pet,Npj,760
POS2,s1,pet,Dhn,760
POS3,s1,die,Chr,38689
POS3,s1,die,Srl,19877
POS3,s1,die,Amj,15309
POS3,s1,die,Ctw,98205
POS3,s1,die,Bhw,8190
POS3,s1,pet,Chr,1311
POS3,s1,pet,Brt,5330
POS3,s1,pet,Srl,3123
POS3,s1,pet,Amj,2161
POS3,s1,pet,Ctw,3795
POS3,s1,pet,Ktm,760
POS3,s1,pet,Pkr,10760
POS3,s1,pet,Bhw,31810
POS3,s1,pet,Npj,760
POS3,s1,pet,Dhn,760
POS4,s1,die,Chr,38689
POS4,s1,die,Srl,19877
POS4,s1,die,Amj,15309
POS4,s1,die,Ctw,98205
POS4,s1,die,Bhw,8190
POS4,s1,pet,Chr,1311
POS4,s1,pet,Brt,5330
POS4,s1,pet,Srl,3123
POS4,s1,pet,Amj,2161
POS4,s1,pet,Ctw,3795
POS4,s1,pet,Ktm,760
POS4,s1,pet,Pkr,10760
POS4,s1,pet,Bhw,31810
POS4,s1,pet,Npj,760
POS4,s1,pet,Dhn,760
POS5,s1,die,Chr,38689
POS5,s1,die,Srl,19877
POS5,s1,die,Amj,15309
POS5,s1,die,Ctw,98205
POS5,s1,die,Bhw,8190
POS5,s1,pet,Chr,1311
POS5,s1,pet,Brt,5330
POS5,s1,pet,Srl,3123
POS5,s1,pet,Amj,2161
POS5,s1,pet,Ctw,3795
POS5,s1,pet,Ktm,760
POS5,s1,pet,Pkr,10760
POS5,s1,pet,Bhw,31810
POS5,s1,pet,Npj,760
POS5,s1,pet,Dhn,760
POS6,s1,die,Chr,38689
POS6,s1,die,Srl,20145
POS6,s1,die,Amj,15041
POS6,s1,die,Ctw,98205
POS6,s1,die,Bhw,8190
POS6,s1,pet,Chr,1311
POS6,s1,pet,Brt,5330
POS6,s1,pet,Srl,2855
POS6,s1,pet,Amj,2429
POS6,s1,pet,Ctw,3795
POS6,s1,pet,Ktm,760
POS6,s1,pet,Pkr,10760
POS6,s1,pet,Bhw,31810
POS6,s1,pet,Npj,760
POS6,s1,pet,Dhn,760
POS7,s1,die,Chr,38689
POS7,s1,die,Srl,20145
POS7,s1,die,Amj,15041
POS7,s1,die,Ctw,98205
POS7,s1,die,Bhw,8190
POS7,s1,pet,Chr,1311
POS7,s1,pet,Brt,5330
POS7,s1,pet,Srl,2855
POS7,s1,pet,Amj,2429
POS7,s1,pet,Ctw,3795
POS7,s1,pet,Ktm,760
POS7,s1,pet,Pkr,10760
POS7,s1,pet,Bhw,31810
POS7,s1,pet,Npj,760
POS7,s1,pet,Dhn,760
POS8,s1,die,Chr,38689
POS8,s1,die,Srl,20145
POS8,s1,die,Amj,15041
POS8,s1,die,Ctw,98205
POS8,s1,die,Bhw,8190
POS8,s1,pet,Chr,1311
POS8,s1,pet,Brt,5330
POS8,s1,pet,Srl,2855
POS8,s1,pet,Amj,2429
POS8,s1,pet,Ctw,3795
POS8,s1,pet,Ktm,760
POS8,s1,pet,Pkr,10760
POS8,s1,pet,Bhw,31810
POS8,s1,pet,Npj,760
POS8,s1,pet,Dhn,760
POS9,s1,die,Chr,38689
POS9,s1,die,Srl,20145
POS9,s1,die,Amj,15041
POS9,s1,die,Ctw,98205
POS9,s1,die,Bhw,8190
POS9,s1,pet,Chr,1311
POS9,s1,pet,Brt,5330
POS9,s1,pet,Srl,2855
POS9,s1,pet,Amj,2429
POS9,s1,pet,Ctw,3795
POS9,s1,pet,Ktm,760
POS9,s1,pet,Pkr,10760
POS9,s1,pet,Bhw,31810
POS9,s1,pet,Npj,760
POS9,s1,pet,Dhn,760
POS10,s1,die,Chr,38612
POS10,s1,die,Srl,20222
POS10,s1,die,Amj,15041
POS10,s1,die,Ctw,98205
POS10,s1,die,Bhw,8190
POS10,s1,pet,Chr,1388
POS10,s1,pet,Brt,5330
POS10,s1,pet,Srl,2778
POS10,s1,pet,Amj,2429
POS10,s1,pet,Ctw,3795
POS10,s1,pet,Ktm,760
POS10,s1,pet,Pkr,10760
POS10,s1,pet,Bhw,31810
POS10,s1,pet,Npj,760
POS10,s1,pet,Dhn,760
POS11,s1,die,Chr,38560
POS11,s1,die,Srl,20274
POS11,s1,die,Amj,15041
POS11,s1,die,Ctw,98205
POS11,s1,die,Bhw,8190
POS11,s1,pet,Chr,1440
POS11,s1,pet,Brt,5330
POS11,s1,pet,Srl,2726
POS11,s1,pet,Amj,2429
POS11,s1,pet,Ctw,3795
POS11,s1,pet,Ktm,760
POS11,s1,pet,Pkr,10760
POS11,s1,pet,Bhw,31810
POS11,s1,pet,Npj,760
POS11,s1,pet,Dhn,760
POS12,s1,die,Chr,38560
POS12,s1,die,Srl,20274
POS12,s1,die,Amj,15041
POS12,s1,die,Ctw,98205
POS12,s1,die,Bhw,8190
POS12,s1,pet,Chr,1440
POS12,s1,pet,Brt,5330
POS12,s1,pet,Srl,2726
POS12,s1,pet,Amj,2429
POS12,s1,pet,Ctw,3795
POS12,s1,pet,Ktm,760
POS12,s1,pet,Pkr,10760
POS12,s1,pet,Bhw,31810
POS12,s1,pet,Npj,760
POS12,s1,pet,Dhn,760
POS13,s1,die,Chr,38560
POS13,s1,die,Srl,21965
POS13,s1,die,Ctw,98205
POS13,s1,die,Bhw,8190
POS13,s1,pet,Chr,1440
