solution,scenario,product,mode,from,to,X
POS1,s1,die,pip,Amj,Ctw,64350
POS1,s1,pet,pip,Amj,Ctw,33120
POS2,s1,die,pip,Amj,Ctw,64350
POS2,s1,pet,pip,Amj,Ctw,33320
POS3,s1,die,pip,Amj,Ctw,64350
POS3,s1,pet,pip,Amj,Ctw,33320
POS4,s1,die,pip,Amj,Ctw,64350
POS4,s1,pet,pip,Amj,Ctw,33320
POS5,s1,die,pip,Amj,Ctw,64350
POS5,s1,pet,pip,Amj,Ctw,33320
POS6,s1,die,pip,Amj,Ctw,64350
POS6,s1,pet,pip,Amj,Ctw,36000
POS7,s1,die,pip,Amj,Ctw,64350
POS7,s1,pet,pip,Amj,Ctw,36000
POS8,s1,die,pip,Amj,Ctw,64350
POS8,s1,pet,pip,Amj,Ctw,36000
POS9,s1,die,pip,Amj,Ctw,64350
POS9,s1,pet,pip,Amj,Ctw,36000
POS10,s1,die,pip,Amj,Ctw,66400
POS10,s1,pet,pip,Amj,Ctw,36000
POS11,s1,die,pip,Amj,Ctw,64350
POS11,s1,pet,pip,Amj,Ctw,36000
POS12,s1,die,pip,Amj,Ctw,64350
POS12,s1,pet,pip,Amj,Ctw,36000
POS13,s1,die,pip,Amj,Ctw,54900
POS13,s1,pet,pip,Amj,Ctw,36000
POS14,s1,die,pip,Amj,Ctw,54900
POS14,s1,pet,pip,Amj,Ctw,36000
POS15,s1,die,pip,Amj,Ctw,54900
POS15,s1,pet,pip,Amj,Ctw,36000
POS16,s1,die,pip,Amj,Ctw,54900
POS16,s1,pet,pip,Amj,Ctw,36000
POS17,s1,die,pip,Amj,Ctw,54900
POS17,s1,pet,pip,Amj,Ctw,36000
POS18,s1,die,pip,Amj,Ctw,54900
POS18,s1,pet,pip,Amj,Ctw,36000
POS19,s1,die,pip,Amj,Ctw,68300
POS19,s1,pet,pip,Amj,Ctw,36000
POS20,s1,die,trk,Amj,Brt,4200
POS20,s1,die,pip,Amj,Ctw,50700
POS20,s1,pet,pip,Amj,Ctw,36000
POS1,s2,die,pip,Amj,Ctw,62040
POS1,s2,pet,pip,Amj,Ctw,31680
POS2,s2,die,pip,Amj,Ctw,62040
POS2,s2,pet,pip,Amj,Ctw,31680
POS3,s2,die,pip,Amj,Ctw,62040
POS3,s2,pet,pip,Amj,Ctw,31680
POS4,s2,die,pip,Amj,Ctw,62040
POS4,s2,pet,pip,Amj,Ctw,31680
POS5,s2,die,pip,Amj,Ctw,62040
POS5,s2,pet,pip,Amj,Ctw,34980
POS6,s2,die,pip,Amj,Ctw,62040
POS6,s2,pet,pip,Amj,Ctw,34980
POS7,s2,die,pip,Amj,Ctw,62040
POS7,s2,pet,pip,Amj,Ctw,34980
POS8,s2,die,pip,Amj,Ctw,62040
POS8,s2,pet,pip,Amj,Ctw,34980
POS9,s2,die,pip,Amj,Ctw,62040
POS9,s2,pet,pip,Amj,Ctw,34980
POS10,s2,die,pip,Amj,Ctw,62340
POS10,s2,pet,pip,Amj,Ctw,34980
POS11,s2,die,pip,Amj,Ctw,62040
POS11,s2,pet,pip,Amj,Ctw,36000
POS12,s2,die,pip,Amj,Ctw,62040
POS12,s2,pet,pip,Amj,Ctw,36000
POS13,s2,die,pip,Amj,Ctw,56160
POS13,s2,pet,pip,Amj,Ctw,36000
POS14,s2,die,pip,Amj,Ctw,56160
POS14,s2,pet,pip,Amj,Ctw,36000
POS15,s2,die,pip,Amj,Ctw,56160
POS15,s2,pet,pip,Amj,Ctw,36000
POS16,s2,die,pip,Amj,Ctw,56160
POS16,s2,pet,pip,Amj,Ctw,36000
POS17,s2,die,pip,Amj,Ctw,56160
POS17,s2,pet,pip,Amj,Ctw,36000
POS18,s2,die,pip,Amj,Ctw,71780
POS18,s2,pet,pip,Amj,Ctw,36000
POS19,s2,die,pip,Amj,Ctw,67166
POS19,s2,pet,pip,Amj,Ctw,36000
POS20,s2,die,trk,Amj,Brt,7280
POS20,s2,die,pip,Amj,Ctw,48880
POS20,s2,pet,pip,Amj,Ctw,36000
POS1,s3,die,pip,Amj,Ctw,59400
POS1,s3,pet,pip,Amj,Ctw,30240
POS2,s3,die,pip,Amj,Ctw,59400
POS2,s3,pet,pip,Amj,Ctw,30240
POS3,s3,die,pip,Amj,Ctw,59400
POS3,s3,pet,pip,Amj,Ctw,30240
POS4,s3,die,pip,Amj,Ctw,59400
POS4,s3,pet,pip,Amj,Ctw,30240
POS5,s3,die,pip,Amj,Ctw,59400
POS5,s3,pet,pip,Amj,Ctw,30240
POS6,s3,die,pip,Amj,Ctw,59400
POS6,s3,pet,pip,Amj,Ctw,33390
POS7,s3,die,pip,Amj,Ctw,59400
POS7,s3,pet,pip,Amj,Ctw,33390
POS8,s3,die,pip,Amj,Ctw,59400
POS8,s3,pet,pip,Amj,Ctw,33390
POS9,s3,die,pip,Amj,Ctw,59400
POS9,s3,pet,pip,Amj,Ctw,33390
POS10,s3,die,pip,Amj,Ctw,59400
POS10,s3,pet,pip,Amj,Ctw,33390
POS11,s3,die,pip,Amj,Ctw,59400
POS11,s3,pet,pip,Amj,Ctw,35280
POS12,s3,die,pip,Amj,Ctw,59400
POS12,s3,pet,pip,Amj,Ctw,35280
POS13,s3,die,pip,Amj,Ctw,57600
POS13,s3,pet,pip,Amj,Ctw,35280
POS14,s3,die,pip,Amj,Ctw,57600
POS14,s3,pet,pip,Amj,Ctw,35280
POS15,s3,die,pip,Amj,Ctw,57600
POS15,s3,pet,pip,Amj,Ctw,36000
POS16,s3,die,pip,Amj,Ctw,57600
POS16,s3,pet,pip,Amj,Ctw,36000
POS17,s3,die,pip,Amj,Ctw,57600
POS17,s3,pet,pip,Amj,Ctw,36000
POS18,s3,die,pip,Amj,Ctw,57600
POS18,s3,pet,pip,Amj,Ctw,36000
POS19,s3,die,pip,Amj,Ctw,66100
POS19,s3,pet,pip,Amj,Ctw,36000
POS20,s3,die,trk,Amj,Brt,10800
POS20,s3,die,pip,Amj,Ctw,46800
POS20,s3,pet,pip,Amj,Ctw,36000
POS1,s4,die,pip,Amj,Ctw,62040
POS1,s4,pet,pip,Amj,Ctw,31680
POS2,s4,die,pip,Amj,Ctw,62040
POS2,s4,pet,pip,Amj,Ctw,31680
POS3,s4,die,pip,Amj,Ctw,62040
POS3,s4,pet,pip,Amj,Ctw,31680
POS4,s4,die,pip,Amj,Ctw,62040
POS4,s4,pet,pip,Amj,Ctw,31680
POS5,s4,die,pip,Amj,Ctw,62040
POS5,s4,pet,pip,Amj,Ctw,34980
POS6,s4,die,pip,Amj,Ctw,62040
POS6,s4,pet,pip,Amj,Ctw,34980
POS7,s4,die,pip,Amj,Ctw,62040
POS7,s4,pet,pip,Amj,Ctw,34980
POS8,s4,die,pip,Amj,Ctw,62040
POS8,s4,pet,pip,Amj,Ctw,34980
POS9,s4,die,pip,Amj,Ctw,62040
POS9,s4,pet,pip,Amj,Ctw,34980
POS10,s4,die,pip,Amj,Ctw,62340
POS10,s4,pet,pip,Amj,Ctw,35470
POS11,s4,die,pip,Amj,Ctw,62040
POS11,s4,pet,pip,Amj,Ctw,36000
POS12,s4,die,pip,Amj,Ctw,62040
POS12,s4,pet,pip,Amj,Ctw,36000
POS13,s4,die,pip,Amj,Ctw,56160
POS13,s4,pet,pip,Amj,Ctw,36000
POS14,s4,die,pip,Amj,Ctw,56160
POS14,s4,pet,pip,Amj,Ctw,36000
POS15,s4,die,pip,Amj,Ctw,56160
POS15,s4,pet,pip,Amj,Ctw,36000
POS16,s4,die,pip,Amj,Ctw,56160
POS16,s4,pet,pip,Amj,Ctw,36000
POS17,s4,die,pip,Amj,Ctw,56160
POS17,s4,pet,pip,Amj,Ctw,36000
