solution,tcost,plcost
POS1,237646000,28753900
POS2,239539710,28375158
POS3,241433420,27996416
POS4,243327130,27617674
POS5,245460320,27238932
POS6,248409970,26860189
POS7,251723960,26481447
POS8,255037950,26102705
POS9,258351950,25723963
POS10,262383260,25345221
POS11,267390620,24966479
POS12,275707130,24587737
POS13,286454660,24208995
POS14,298865210,23830253
POS15,319270250,23451511
POS16,342415600,23072768
POS17,365560950,22694026
POS18,389187000,22315284
POS19,413958770,21936542
POS20,534993000,21557800
